name,price,score,num_plp,img_url
尼康D800(单机)全画幅单反，镁合金机身，高密度AF,8499,8.9,259,https://2a.zol-img.com.cn/product/149_220x165/694/ceLcmHBzeD0Tk.jpg
佳能800D(单机)45点对焦系统，全像素双核对焦，电子五轴防抖,4199,9.8,143,https://2b.zol-img.com.cn/product/180_220x165/965/ceJ1kayshBr9.jpg
尼康D7100(单机)高密度自动对焦，光学低通滤镜，全高清摄像,4634,9.6,750,https://2f.zol-img.com.cn/product/110_220x165/731/ce7t7DTjPvOA.jpg
佳能800D套机(18-55mm IS STM)APS-C画幅，全新DIGIC 7处理器，45点对焦系统,4699,9.8,143,https://2c.zol-img.com.cn/product/180_220x165/148/ceUlaG7l5z1J2.jpg
尼康D5(单机)高感光度，4K视频拍摄，三种自动白平衡模式,33700.0,9.3,49,https://2d.zol-img.com.cn/product/169_220x165/153/cemGhARoV0YYc.jpg
佳能EOS M100套机(15-45mm IS STM)APS-C画幅传感器，15-45mm实际焦距，全像素双核对焦方式,2389,9.3,56,https://2b.zol-img.com.cn/product/185_220x165/675/ceI65vDO6mMw.jpg
尼康D7000(单机)镁铝合金机身，专业便捷操控性，全高清拍摄,3899,9.3,682,https://2f.zol-img.com.cn/product/149_220x165/643/ceYx57nsMpuVo.jpg
佳能5Ds R(单机)5060万有效像素，无低通滤镜,15000.0,7.7,40,https://2f.zol-img.com.cn/product/154_220x165/173/ceynwGMHK9xao.jpg
佳能EOS-1D X Mark II(单机)全画幅，80点对焦，支持实时取景,35000.0,9.1,30,https://2d.zol-img.com.cn/product/172_220x165/467/cebrNJv88SV32.jpg
松下LX1004/3画幅，4K视频拍摄，实时取景器,3290,9.1,46,https://2b.zol-img.com.cn/product/140_220x165/719/ceccTP8ueQjQk.jpg
佳能80D套机(EF-S 18-135mm IS USM)中端单反，高像素密度，传感器性能均衡,7888,8.6,60,https://2e.zol-img.com.cn/product/172_220x165/496/ceD8pKjfPw3IE.jpg
